MA,FA,Cs,Pb,Sn,Other,I,Br,Gap,Po,ETL,HTL,Ne,Area,Add_O,Add_I,Add_H,Passivation,Step,Solvent,Coated1_v,Coated1_t,Coated2_v,Coated2_t,antisolvent,Anneal_T,Anneal_t,Jsc,Voc,FF,PCE
0,1,0,0,1,0,1,0,0.55513308,1,1,0.666666667,1,0.028571429,1,1,1,1,0.5,0.75,1,0.666666667,0,0,0.12,0.228571429,0.111111111,21.89,0.84,0.7886,14.5
0.15,0.85,0,1,0,0,0.85,0.15,0.608365019,1,0.666666667,0.333333333,0.666666667,0.064285714,1,0,0,1,1,0.75,0.1875,0.111111111,0.916666667,0.5,0.1,0.371428571,0.333333333,19.18,1.15,0.732,19.49
0.952,0.048,0,1,0,0,0.968,0.032,0.615969582,1,0.666666667,0.333333333,0.333333333,0.085714286,1,0,1,0,1,0.75,0.125,0.055555556,0.666666667,0.2,0.04,0.385714286,0.033333333,24.07,1.131,0.768,20.93
0.952,0.048,0,1,0,0,0.968,0.032,0.615969582,1,0.666666667,0.333333333,0.333333333,0.5,1,0,1,0,1,0.75,0.125,0.055555556,0.666666667,0.2,0.04,0.385714286,0.033333333,23.5,1.065,0.687,17.22
1,0,0,1,0,0,1,0,0.6121673,1,0.666666667,0.333333333,0.333333333,1,1,0,1,0,1,0.75,0.125,0.055555556,0.666666667,0.2,0.04,0.385714286,0.033333333,21.15,1.053,0.652,14.53
0.952,0.024,0,1,0,0,0.984,0.016,0.6121673,1,0.666666667,0.333333333,0.333333333,0.085714286,1,0,1,0,1,0.75,0.125,0.055555556,0.666666667,0.2,0.04,0.385714286,0.033333333,23.87,1.095,0.756,19.76
0.928,0.072,0,1,0,0,0.952,0.048,0.619771863,1,0.666666667,0.333333333,0.333333333,0.085714286,1,0,1,0,1,0.75,0.125,0.055555556,0.666666667,0.2,0.04,0.385714286,0.033333333,23.75,1.082,0.735,18.89
0.904,0.096,0,1,0,0,0.936,0.064,0.619771863,1,0.666666667,0.333333333,0.333333333,0.085714286,1,0,1,0,1,0.75,0.125,0.055555556,0.666666667,0.2,0.04,0.385714286,0.033333333,23.32,1.06,0.713,17.67
0,0,1,0,1,0,1,0,0.494296578,1,1,0.666666667,0.666666667,0.028571429,1,1,0,1,0.5,0.75,0.375,0.333333333,0,0,0,0.2,0.088888889,24.94,0.75,0.74,13.68
0,0,1,0,1,0,1,0,0.494296578,1,1,0.666666667,0.666666667,0.042857143,0,0,0,1,0.5,0.75,0.375,0.333333333,0,0,0,0.2,0.088888889,14.42,0.63,0.6,5.51
