MA,FA,Cs,Pb,Sn,Other,I,Br,Gap,Po,ETL,HTL,Ne,Area,Add_O,Add_I,Add_H,Passivation,Step,Solvent,Coated_v,Coated_t,Coated_1v,Coated_1t,Coated_2v,Coated_2t,antisolvent,Anneal_T,Anneal_t,Jsc,Voc,FF,PCE
0,1,0,0,1,0,1,0,0.543726236,1,1,0.666666667,1,0.028571429,1,1,1,1,0.5,0.75,1,0.666666667,0,0,0,0,0.12,0.228571429,0.111111111,0.766461538,0.526976161,0.831492362,0.59027501
0,1,0,0,1,0,1,0,0.543726236,1,1,0.666666667,1,0.028571429,1,1,1,1,0.5,0.75,1,0.666666667,0,0,0,0,0.12,0.228571429,0.111111111,0.773846154,0.514429109,0.842420682,0.58947788
0,1,0,0,1,0,1,0,0.55513308,1,1,0.666666667,1,0.028571429,1,1,1,1,0.5,0.75,1,0.666666667,0,0,0,0,0.12,0.228571429,0.111111111,0.638153846,0.526976161,0.779788484,0.460741331
0,1,0,0,1,0,1,0,0.55513308,1,1,0.666666667,1,0.028571429,1,1,1,1,0.5,0.75,1,0.666666667,0,0,0,0,0.12,0.228571429,0.111111111,0.673538462,0.526976161,0.926674501,0.57791949
0.15,0.85,0,1,0,0,0.85,0.15,0.608365019,1,0.666666667,0.333333333,0.666666667,0.064285714,1,0,0,1,1,0.75,0,0,0.25,0.166666667,0.916666667,0.6,0.1,0.371428571,0.333333333,0.590153846,0.721455458,0.860164512,0.776803507
0.952,0.048,0,1,0,0,0.968,0.032,0.615969582,1,0.666666667,0.333333333,0.333333333,0.085714286,1,0,1,0,1,0.75,0,0,0.166666667,0.083333333,0.666666667,0.24,0.04,0.385714286,0.033333333,0.740615385,0.709535759,0.902467685,0.834196891
0.952,0.048,0,1,0,0,0.968,0.032,0.615969582,1,0.666666667,0.333333333,0.333333333,0.5,1,0,1,0,1,0.75,0,0,0.166666667,0.083333333,0.666666667,0.24,0.04,0.385714286,0.033333333,0.723076923,0.668130489,0.807285546,0.686329215
1,0,0,1,0,0,1,0,0.6121673,1,0.666666667,0.333333333,0.333333333,1,1,0,1,0,1,0.75,0,0,0.166666667,0.083333333,0.666666667,0.24,0.04,0.385714286,0.033333333,0.650769231,0.660602258,0.766157462,0.579115185
0.952,0.024,0,1,0,0,0.984,0.016,0.6121673,1,0.666666667,0.333333333,0.333333333,0.085714286,1,0,1,0,1,0.75,0,0,0.166666667,0.083333333,0.666666667,0.24,0.04,0.385714286,0.033333333,0.734461538,0.686951066,0.888366627,0.787564767
0.928,0.072,0,1,0,0,0.952,0.048,0.619771863,1,0.666666667,0.333333333,0.333333333,0.085714286,1,0,1,0,1,0.75,0,0,0.166666667,0.083333333,0.666666667,0.24,0.04,0.385714286,0.033333333,0.730769231,0.678795483,0.863689777,0.752889597
0.904,0.096,0,1,0,0,0.936,0.064,0.619771863,1,0.666666667,0.333333333,0.333333333,0.085714286,1,0,1,0,1,0.75,0,0,0.166666667,0.083333333,0.666666667,0.24,0.04,0.385714286,0.033333333,0.717538462,0.664993726,0.837837838,0.704264647
0,0,1,0,1,0,1,0,0.494296578,1,1,0.666666667,0.666666667,0.028571429,1,1,0,1,0.5,0.75,0.375,0.333333333,0,0,0,0,0,0.2,0.088888889,0.767384615,0.470514429,0.869565217,0.545237146
0,0,1,0,1,0,1,0,0.494296578,1,1,0.666666667,0.666666667,0.042857143,0,0,0,1,0.5,0.75,0.375,0.333333333,0,0,0,0,0,0.2,0.088888889,0.443692308,0.39523212,0.705052879,0.219609406
0,0,1,0,1,0,0.333333333,0.666666667,0.619771863,0,0.333333333,0,1,0.057142857,0,1,0,1,0.5,0.75,0.375,0.222222222,0,0,0,0,0,0.714285714,0.044444444,0.513846154,0.207026349,0.62279671,0.11956955
0.05,0.95,0,1,0,0,0.95,0.05,0.584410646,0,0.666666667,0.333333333,0.333333333,0.085714286,0,0,0,1,0.5,1,0,0,0.05,0.166666667,0.666666667,0.6,0.2,0.428571429,0.111111111,0.742461538,0.680677541,0.853113984,0.757273814
0.15,0.85,0,1,0,0,0.85,0.15,0.608745247,0,0.333333333,0.333333333,0.333333333,0.114285714,1,0,0,1,0.5,0.75,0.75,0.333333333,0,0,0,0,0.1,0.285714286,0.666666667,0.704307692,0.704516939,0.888366627,0.774412116
0,0,1,1,0,0,0,1,0.870722433,0,0.333333333,0,1,0.028571429,1,0,0,0,1,1,0,0,0.333333333,0.5,0.333333333,0.2,0.12,0.714285714,0.055555556,0.268923077,0.771643664,0.886016451,0.323236349
0,0,1,1,0,0,0,1,0.882129278,0,0.333333333,0,1,0.028571429,1,0,0,0,1,0.25,0,0,0.333333333,0.5,0.333333333,0.2,0.12,0.714285714,0.055555556,0.222461538,0.759096612,0.844888367,0.249900359
0.05,0.95,0,1,0,0,0.95,0.05,0.592395437,0,0.666666667,0.333333333,0.333333333,0.085714286,1,1,0,1,1,1,0,0,0.05,0.166666667,0.666666667,0.6,0.2,0.428571429,0.111111111,0.759692308,0.683814304,0.878965922,0.802311678
0.05,0.95,0,1,0,0,0.95,0.05,0.592395437,0,0.666666667,0.333333333,0.333333333,0.085714286,1,1,0,1,1,1,0,0,0.05,0.166666667,0.666666667,0.6,0.2,0.428571429,0.111111111,0.758769231,0.677540778,0.857814336,0.774810682
0,1,0,1,0,0,1,0,0.587452471,0,0.666666667,0.333333333,0.333333333,0.085714286,1,1,0,1,1,1,0,0,0.05,0.166666667,0.666666667,0.6,0.2,0.428571429,0.111111111,0.733230769,0.658720201,0.840188014,0.713033081
0,1,0,1,0,0,1,0,0.587452471,0,0.666666667,0.333333333,0.333333333,0.085714286,1,1,0,1,1,1,0,0,0.05,0.166666667,0.666666667,0.6,0.2,0.428571429,0.111111111,0.735076923,0.646173149,0.888366627,0.743324033
1,0,0,1,0,0,1,0,0.615209125,1,1,1,0.666666667,0.05,0,0,0,0,0.5,0.75,0.5,0.222222222,0,0,0,0,0.35,0.285714286,0.022222222,0.648923077,0.664993726,0.916568743,0.723395775
0,1,0,0,1,0,1,0,0.524714829,1,1,0.666666667,1,0.028571429,1,0,1,0,0.5,0.75,0.5,0.666666667,0,0,0,0,0,0.185714286,0.222222222,0.741538462,0.3293601,0.834312573,0.358708649
0,1,0,1,0,0,1,0,0.585551331,1,0.666666667,0.333333333,0.333333333,0.064285714,1,0,1,0,0.5,0.25,0.5,0.333333333,0,0,0,0,0,0.428571429,0.111111111,0.761538462,0.700752823,0.866039953,0.810282981
