iter	RMSE
169	0.9942887572
170	0.992900034
171	0.9907969597
172	0.9872953277
173	0.9856007213
174	0.9837858865
175	0.9801357318
176	0.978723439
177	0.9772307867
178	0.9749010337
179	0.9731965665
180	0.9700652125
181	0.9688643452
182	0.9682380074
183	0.9653614626
184	0.9641326075
185	0.9629767071
186	0.9623744967
187	0.9606410462
188	0.9601445491
189	0.9588182795
190	0.9585036145
191	0.9573099594
192	0.9554976178
193	0.9552103076
194	0.9512739082
195	0.9499565896
196	0.9492589279
197	0.9469370146
198	0.944715934
199	0.9429370338
200	0.9417089937
201	0.9410908624
202	0.9394017066
203	0.9383037714
204	0.9372761184
205	0.9363935118
206	0.9354598648
207	0.9349013541
208	0.9342642915
209	0.9336359709
210	0.932423675
211	0.9306335462
212	0.92941777
213	0.9285673832
214	0.9266824754
215	0.9256895162
216	0.92380785
217	0.9222519881
218	0.9217109536
219	0.9212595494
220	0.9203854112
221	0.9195614181
222	0.9189752108
223	0.9172563419
224	0.9161632575
225	0.9152527999
226	0.9143837791
227	0.913962051
228	0.9119025805
229	0.9097704618
230	0.9072986463
231	0.9058134599
232	0.9051441639
233	0.9040248909
234	0.9034810928
235	0.9021800417
236	0.9011512012
237	0.8995056558
238	0.8987580822
239	0.8965026559
240	0.8950058574
241	0.8941148311
242	0.8937282109
243	0.8934191096
244	0.8931197978
245	0.8920351024
246	0.8913221438
247	0.8904220732
248	0.8889700027
249	0.8876654603
250	0.8870971871
251	0.886397508
252	0.8851252505
253	0.8843634404
254	0.8826160241
255	0.8823672911
256	0.8811954836
257	0.879899522
258	0.8794659863
259	0.8789833114
260	0.8787374526
261	0.8782052708
262	0.8776395737
263	0.8767124439
264	0.8760789643
265	0.8754491111
266	0.8742233305
267	0.8735685877
268	0.8723048647
269	0.8711539934
270	0.8709048246
271	0.8706857163
272	0.8695943532
273	0.8693618839
274	0.8686190619
275	0.8684593725
276	0.8674392726
277	0.8668215714
278	0.8658187353
279	0.8645534167
280	0.8634919262
281	0.8629337198
282	0.8621214832
283	0.8615628215
284	0.8603479567
285	0.8597277092
286	0.8588948332
287	0.8579729142
288	0.8578010917
289	0.8570529219
290	0.8565054965
291	0.8558734592
292	0.8551314222
293	0.8541579222
294	0.8535654108
295	0.8529533338
296	0.8525619591
297	0.8520137315
298	0.8516153244
299	0.8509607966
300	0.850326959
301	0.8495735377
302	0.8491259546
303	0.8488395978
304	0.8485534761
305	0.8477080035
306	0.8474058389
307	0.8466077375
308	0.8463435121
309	0.8458619235
310	0.8452910162
311	0.8448335492
312	0.8444631332
313	0.8439084852
314	0.8434249284
315	0.8429340554
316	0.8423324177
317	0.8416957909
318	0.8415368039
319	0.8409121005
320	0.8407855024
321	0.8400989494
322	0.8398552632
323	0.8394764323
324	0.8389315821
325	0.8382388441
326	0.8377953715
327	0.8375549112
328	0.8371077231
329	0.8368403357
330	0.8365066692
331	0.8362267434
332	0.8357391572
333	0.835169793
334	0.8347172304
335	0.8345153114
336	0.8342093382
337	0.833591526
338	0.8331791414
339	0.8324303147
340	0.8322945899
341	0.8319152409
342	0.8312723676
343	0.8309845571
344	0.8305344417
345	0.8301007244
346	0.8296871038
347	0.8294373464
348	0.829285792
349	0.8287440424
350	0.828238475
351	0.8276782524
352	0.8272883184
353	0.8269657384
354	0.8267679035
355	0.8267168984
356	0.8264926673
357	0.8262183594
358	0.8255601243
359	0.8250273992
360	0.8246060631
361	0.8242734122
362	0.8239129936
363	0.823508814
364	0.8228114069
365	0.822388353
366	0.8218552832
367	0.8217699842
368	0.821291901
369	0.8212196274
370	0.8208651061
371	0.8204522596
372	0.8201159821
373	0.8199992193
374	0.8196807836
375	0.8195361151
376	0.8192038654
377	0.8191146665
378	0.8189454216
379	0.8188182491
380	0.8186519915
381	0.8184264059
382	0.8179925211
383	0.8177473408
384	0.8174783243
385	0.8172008909
386	0.8167598323
387	0.8165825942
388	0.8163584465
389	0.8159049763
390	0.8158205246
391	0.8154662092
392	0.8150527841
393	0.8147523054
394	0.8142428788
395	0.8139523708
396	0.8137462749
397	0.8136709865
398	0.8135756974
399	0.8132964373
400	0.8130708528
401	0.8129330304
402	0.812716428
403	0.8125726222
404	0.8123167288
405	0.8121069432
406	0.8119125107
407	0.811468513
408	0.8114106677
409	0.8109292126
410	0.8106555912
411	0.8104598348
412	0.8104108432
413	0.8102612418
414	0.8098543172
415	0.8097046857
416	0.8093999807
417	0.8093516096
418	0.8092100972
419	0.8089478689
420	0.8088787808
421	0.8087439829
422	0.808562992
423	0.8084884873
424	0.8081661239
425	0.8080659605
426	0.8077579733
427	0.8075556148
428	0.8072482457
429	0.807177
430	0.8070399048
431	0.8069447096
432	0.8067976117
433	0.80669268
434	0.8066118344
435	0.8062995137
436	0.8059815065
437	0.8058121635
438	0.8054640336
439	0.8053620057
440	0.8053077217
441	0.8051248228
442	0.8049564607
443	0.8048697563
444	0.8046544932
445	0.8045729889
446	0.8045004429
447	0.8043173827
448	0.8040792743
449	0.8038733268
450	0.803592038
451	0.8034011361
452	0.8033008541
453	0.803057399
454	0.8030171604
455	0.8027058354
456	0.802431681
457	0.8023734296
458	0.802193146
459	0.8019978718
460	0.8017711601
461	0.8017213203
462	0.8016551118
463	0.8016361971
464	0.80148662
465	0.8012759963
466	0.8009832799
467	0.8009238559
468	0.8005557918
469	0.8004263555
470	0.8001316048
471	0.8000915343
472	0.7999137515
473	0.7997414016
474	0.7995101299
475	0.7993343301
476	0.7992301556
477	0.799189995
478	0.799135302
479	0.7989329717
480	0.7988693296
481	0.7988069725
482	0.7984628742
483	0.7984184509
484	0.7982217802
485	0.7980593517
486	0.7978805804
487	0.7977019917
488	0.7975557966
489	0.7974702182
490	0.7974063216
491	0.797263432
492	0.7970518977
493	0.7969905616
494	0.7968757885
495	0.7967969891
496	0.7967471548
497	0.7966209704
498	0.7965705287
499	0.7963812715
500	0.7962830669
501	0.796141272
502	0.7960827454
503	0.7960387172
504	0.7958428722
505	0.795774059
506	0.7956554184
507	0.7955173618
508	0.795435911
509	0.7953933602
510	0.7952474461
511	0.7951454445
512	0.7950130632
513	0.7948591215
514	0.7947779691
515	0.794538626
516	0.7944991082
517	0.7943711465
518	0.7943201649
519	0.7942114352
520	0.794075295
521	0.7939544328
522	0.793920257
523	0.7938757764
524	0.7937153328
525	0.793669712
526	0.7935842222
527	0.7934083787
528	0.7932888047
529	0.793128325
530	0.7930632178
531	0.7930357043
532	0.7929110802
533	0.7927838469
534	0.7925833097
535	0.7925027904
536	0.7923889738
537	0.7923398546
538	0.7922105221
539	0.7921048801
540	0.7920569403
541	0.7919153653
542	0.7917725675
543	0.7916930133
544	0.7916198076
545	0.7915799663
546	0.7915290853
547	0.791412507
548	0.7913539082
549	0.7912325286
550	0.7911003874
551	0.7910592691
552	0.7910221008
553	0.7909478835
554	0.7909041546
555	0.790786483
556	0.7907616488
557	0.7906846709
558	0.7905653955
559	0.7904814061
560	0.7904384809
561	0.7904138851
562	0.7903231839
563	0.7902541165
564	0.7902104952
565	0.7901633179
566	0.7900640787
567	0.7899567769
568	0.789919796
569	0.7898729698
570	0.7897943583
571	0.7897210079
572	0.7895922778
573	0.789551315
574	0.7894748773
575	0.7893761136
576	0.7892656367
577	0.7892229867
578	0.7891875321
579	0.7890496755
580	0.7889555758
581	0.7888997339
582	0.7888042627
583	0.788755729
584	0.7886021848
585	0.7884726663
586	0.7884261937
587	0.7883835048
588	0.7883514931
589	0.7882425935
590	0.7881957739
591	0.7881043516
592	0.7880213247
593	0.7879635365
594	0.7879173196
595	0.7878847326
596	0.787823174
597	0.787794723
598	0.7877113011
599	0.7876024142
600	0.7875587442
601	0.787552362
602	0.7873927134
603	0.7873355883
604	0.7872580306
605	0.7872142796
606	0.78719634
607	0.7871380422
608	0.7870761758
609	0.7870382893
610	0.7868931857
611	0.7867787242
612	0.7867487288
613	0.7866700997
614	0.7866132176
615	0.7866030117
616	0.7865430108
617	0.7864848858
618	0.7864130958
619	0.7863276512
620	0.7862663856
621	0.7862098185
622	0.7861575378
623	0.7861041017
624	0.7860019163
625	0.7859485358
626	0.7859170626
627	0.785837546
628	0.7858263165
629	0.7857922961
630	0.7856784035
631	0.7856133517
632	0.785599326
633	0.7855716291
634	0.7855033011
635	0.7854785663
636	0.7854574205
637	0.7853198873
638	0.7852145271
639	0.7851749668
640	0.7851391316
641	0.7850570833
642	0.7850221453
643	0.784977687
644	0.7849228871
645	0.7848705447
646	0.7848445131
647	0.7848240755
648	0.7847771642
649	0.7847554213
650	0.7847475998
651	0.7846685398
652	0.7846073326
653	0.7845667464
654	0.78455595
655	0.7845409711
656	0.7844649516
657	0.7844140081
658	0.7844047255
659	0.7843701264
660	0.784339214
661	0.784317357
662	0.7842002305
663	0.7841527983
664	0.7841347901
665	0.7840778015
666	0.7840404917
667	0.7839783983
668	0.7839394689
669	0.783920981
670	0.7838522481
671	0.7838140916
672	0.783767712
673	0.7836590526
674	0.7836087377
675	0.7835478593
676	0.7835300425
677	0.7834842421
678	0.7834728413
679	0.7834512579
680	0.7834030767
681	0.7833706391
682	0.7833164943
683	0.7833067505
684	0.7832770708
685	0.7832278743
686	0.7832131589
687	0.7831879698
688	0.7831674706
689	0.783121016
690	0.7830984568
691	0.783052297
692	0.7830258304
693	0.7829823165
694	0.7829627875
695	0.7829172493
696	0.7829111439
697	0.782868018
698	0.7828139516
699	0.7828023738
700	0.7827896619
701	0.7827637659
702	0.78272917
703	0.7826995958
704	0.7826716335
705	0.7826489606
706	0.7826457059
707	0.7826325954
708	0.7826248012
709	0.7825965772
710	0.7825887012
711	0.7825536416
712	0.7825233893
713	0.7825061582
714	0.7824738902
715	0.7823901373
716	0.7823824927
717	0.7823435664
718	0.7823059248
719	0.7822636783
720	0.7822463179
721	0.7822245091
722	0.7822106709
723	0.7821964022
724	0.7821616112
725	0.7820634239
726	0.7820510171
727	0.7820389291
728	0.7820120732
729	0.7819772851
730	0.781897417
731	0.7818760785
732	0.7818661168
733	0.7818357979
734	0.7817812162
735	0.7817576625
736	0.7817466967
737	0.7817349267
738	0.781699224
739	0.7816762437
740	0.7816580858
741	0.7816383393
742	0.7816272212
743	0.781603855
744	0.7815909043
745	0.7815481168
746	0.7815226267
747	0.7814998924
748	0.7814496203
749	0.78143918
750	0.7813984192
751	0.7813517294
752	0.781315104
753	0.7812911471
754	0.7812811805
755	0.7812563178
756	0.7812523606
757	0.7812485772
758	0.7812259104
759	0.7812194081
760	0.7812111085
761	0.7812051377
762	0.7811568063
763	0.7811450687
764	0.7811351395
765	0.7811109252
766	0.7810732978
767	0.7810619821
768	0.7810283614
769	0.7809991402
770	0.7809812395
771	0.7809661386
772	0.7809313712
773	0.7809211113
774	0.780890989
775	0.7808891549
776	0.7808802841
777	0.7808700268
778	0.7808619617
779	0.7808571993
780	0.7808429815
781	0.780785904
782	0.7807674644
783	0.7807323455
784	0.7806880616
785	0.7806781749
786	0.7806520052
787	0.7806434131
788	0.7805863033
789	0.7805570098
790	0.7805250643
791	0.7805212225
792	0.7804964842
793	0.7804738346
794	0.780430893
795	0.7804066569
796	0.7803542352
797	0.7803088784
798	0.7802859352
799	0.7802548422
800	0.7802439572
801	0.7802322788
802	0.7802194177
803	0.7802120507
804	0.780156194
805	0.7801513677
806	0.7801190601
807	0.7800980661
808	0.7800876215
809	0.7800831687
810	0.780064356
811	0.7800520597
812	0.7800341624
813	0.7800146871
814	0.7799947655
815	0.7799557652
816	0.7799409718
817	0.7799366049
818	0.7799268493
819	0.779917768
820	0.7799166476
821	0.7799126702
822	0.7798990238
823	0.779881176
824	0.7798687202
825	0.7798604052
826	0.7798333273
827	0.7798157247
828	0.7798139028
829	0.7797971928
830	0.7797865621
831	0.7797751986
832	0.7797570174
833	0.7797243848
834	0.7797230026
835	0.779716859
836	0.7797114637
837	0.7797053645
838	0.779683356
839	0.7796781396
840	0.7796540258
841	0.7796431345
842	0.7795980742
843	0.7795654819
844	0.7795504341
845	0.7795361716
846	0.7795311649
847	0.7795234971
848	0.7795129097
849	0.7795016366
850	0.7794979313
851	0.7794819854
852	0.7794778782
853	0.7794671348
854	0.7794356505
855	0.7794288827
856	0.7794248268
857	0.7793776594
858	0.7793728526
859	0.7793623176
860	0.7793261854
861	0.7793082451
862	0.779299187
863	0.7792913737
864	0.7792683332
865	0.779264451
866	0.779248028
867	0.7792337712
868	0.7792117459
869	0.7792106628
870	0.7791944601
871	0.7791811365
872	0.779170694
873	0.7791554681
874	0.7791449278
875	0.7791390199
876	0.7791312324
877	0.7791204748
878	0.7791121195
879	0.7790959126
880	0.7790827272
881	0.7790779636
882	0.779044174
883	0.7790405251
884	0.7790338149
885	0.7790260837
886	0.779022257
887	0.7790131548
888	0.7790024726
889	0.7789961041
890	0.7789923503
891	0.7789739947
892	0.7789607495
893	0.7789313662
894	0.7789293271
895	0.7789254987
896	0.7789163833
897	0.7789014117
898	0.778892596
899	0.7788816096
900	0.7788734116
901	0.7788589284
902	0.7788424144
903	0.7788370929
904	0.7788202731
905	0.778806572
906	0.7788034545
907	0.7787845497
908	0.77877559
909	0.7787714797
910	0.7787706976
911	0.7787617148
912	0.778758685
913	0.7787450979
914	0.7787420841
915	0.7787378874
916	0.7787337729
917	0.7787143374
918	0.778702376
919	0.7786967401
920	0.7786849704
921	0.7786812649
922	0.778677524
923	0.7786744916
924	0.7786646193
925	0.7786587332
926	0.778646843
927	0.7786376486
928	0.778626887
929	0.7786161368
930	0.7786148742
931	0.7786040577
932	0.7786006424
933	0.7785957375
934	0.7785854282
935	0.7785808454
936	0.7785765248
937	0.7785664238
938	0.77856249
939	0.7785578076
940	0.7785425574
941	0.7785246564
942	0.7785168032
943	0.7785118366
944	0.7784985217
945	0.7784958996
946	0.7784743708
947	0.7784592254
948	0.7784539511
949	0.7784530176
950	0.7784445775
951	0.7784219003
952	0.778420541
953	0.7784191613
954	0.7784152605
955	0.7784099559
956	0.7783913436
957	0.7783807181
958	0.7783741903
959	0.7783714467
960	0.7783573317
961	0.7783469858
962	0.7783423296
963	0.7783314824
964	0.7783075474
965	0.7783063669
966	0.7783051774
967	0.7783022525
968	0.7782990932
969	0.7782913538
970	0.7782873996
971	0.7782802472
972	0.7782725957
973	0.7782711379
974	0.7782698431
975	0.7782667892
976	0.7782650192
977	0.7782569291
978	0.7782467003
979	0.7782449896
980	0.7782392071
981	0.7782155317
982	0.7782115328
983	0.7782076259
984	0.7782049584
985	0.7781992819
986	0.7781974727
987	0.7781965099
988	0.7781926954
989	0.778187655
990	0.7781830607
991	0.7781719375
992	0.7781690108
993	0.7781614708
994	0.7781579515
995	0.7781260135
996	0.7781192197
997	0.7781088921
998	0.7781066704
999	0.7781044241
