,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
457,0.07774920463562011,0.060934031696142615,0.0032011032104492187,0.000980281426245685,absolute_error,10,sqrt,10,10,"{'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10}",-0.02937163462596563,-0.022291298795778094,-0.02150080848380895,-0.03241353325491667,-0.016883815512090047,-0.02449221813451188,0.005625589864763175,1370
758,0.004808473587036133,0.00040391381974309165,0.029991769790649415,0.053483744493046395,friedman_mse,7,sqrt,10,13,"{'criterion': 'friedman_mse', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 13}",-0.03289733820002979,-0.02325650251388603,-0.02235549973634307,-0.025381918919682184,-0.01884842575270539,-0.024547937024529294,0.004676901514602362,1371
943,0.006609869003295898,0.0026010958948952177,0.002506923675537109,0.0006207224918413938,friedman_mse,15,log2,2,15,"{'criterion': 'friedman_mse', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 15}",-0.034320731618508765,-0.020989635386233677,-0.02557367996341459,-0.021329948402566773,-0.020577939953969,-0.024558387064938562,0.005202633079441591,1372
445,0.06232638359069824,0.06119866787389577,0.032528924942016604,0.05956285940031723,absolute_error,10,sqrt,3,10,"{'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10}",-0.029975246874539785,-0.024460101209031266,-0.025491177035372736,-0.020006021535537592,-0.02286501702822637,-0.02455951273654155,0.0032806601498514606,1373
699,0.06258749961853027,0.0650744928570534,0.002513599395751953,0.0005413473560388344,absolute_error,20,sqrt,10,15,"{'criterion': 'absolute_error', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 15}",-0.04581988283921555,-0.01889530688876669,-0.021666851986390234,-0.021898201016668655,-0.014520005919539851,-0.024560049730116197,0.01095744793974631,1374
1139,0.004956197738647461,0.0003862625985557603,0.0026082992553710938,0.0004965593377648005,poisson,7,log2,10,15,"{'criterion': 'poisson', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 15}",-0.035408444084644455,-0.02418819381769249,-0.021670692190201953,-0.02356535820754977,-0.018065111395081514,-0.02457955993903404,0.005819726038983844,1375
39,0.0049171924591064455,0.0007698447152243568,0.03153867721557617,0.057577228563913174,squared_error,7,sqrt,10,15,"{'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 15}",-0.027874152101526762,-0.027109893765146092,-0.024540947464283466,-0.02383499242016684,-0.019605123165161505,-0.024593021783256935,0.002917427415141283,1376
382,0.02753424644470215,0.0014989438753829753,0.0025061607360839845,0.0004462365996420228,absolute_error,7,sqrt,2,13,"{'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 13}",-0.036511299196799754,-0.020411015545403862,-0.01814121378916106,-0.02693527638757002,-0.021066951963453047,-0.02461315137647755,0.006619329846370068,1377
45,0.028961610794067384,0.04082228408923669,0.05434823036193848,0.07259204248437576,squared_error,7,log2,3,10,"{'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 10}",-0.032361468226167846,-0.024842243760594362,-0.02162228037423664,-0.01893518622780883,-0.025340837532556327,-0.0246204032242728,0.004512266816146037,1378
419,0.02136368751525879,0.002014338806476578,0.0025083065032958985,0.0004463039552366326,absolute_error,7,log2,10,15,"{'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 15}",-0.020128907302980545,-0.027968812206958262,-0.022007968904325353,-0.025956536614924905,-0.02754135093803601,-0.024720715193445014,0.0031137458769370024,1379
383,0.031231451034545898,0.0018613128842941843,0.0027035236358642577,0.0003990419842452641,absolute_error,7,sqrt,2,15,"{'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 15}",-0.030010235038524895,-0.02546288507650606,-0.026482178767552864,-0.02633954245252853,-0.015374639689346064,-0.024733896204891685,0.004931560616630034,1380
536,0.08727865219116211,0.07746185684796013,0.0030010223388671877,0.0010943656224719838,absolute_error,13,log2,10,7,"{'criterion': 'absolute_error', 'max_depth': 13, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 7}",-0.022511344280925296,-0.025513630030413646,-0.02307249093585196,-0.020610180800289826,-0.03202805181470957,-0.02474713957243806,0.003962747714045176,1381
415,0.023511457443237304,0.001662939897907954,0.0029664039611816406,0.0006340140612530765,absolute_error,7,log2,7,15,"{'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 7, 'min_samples_split': 15}",-0.03172368272825785,-0.020578464449822323,-0.023891711815976227,-0.024921828951172557,-0.02275603203006715,-0.024774343995059223,0.003762262312777642,1382
645,0.09015951156616211,0.06495961563327071,0.0027258872985839845,0.00029419354875175014,absolute_error,18,log2,3,10,"{'criterion': 'absolute_error', 'max_depth': 18, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 10}",-0.037125246348982184,-0.025802757488054835,-0.020310481245147262,-0.021597445986039795,-0.01906220530567578,-0.02477962727477997,0.006576466585028871,1383
1439,0.01564364433288574,0.018510099917629582,0.0028265953063964845,0.00019748823278904109,poisson,20,log2,10,15,"{'criterion': 'poisson', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 15}",-0.03209511478003756,-0.022112456359789912,-0.02096416850854574,-0.031131156410601105,-0.01762450405879789,-0.024785480023554442,0.005774520292663486,1384
