MA_ratio,FA_ratio,Cs_ratio,Pb_ratio,Sn_ratio,other_ratio,I_ratio,Br_ratio,po_electrode,ETL/ETM,HTL/HTM,ne_eletrode,effective area (cm^2),additive_O,additive_I,additive_H,passivation,step,dissolvent,coated1_s(rpm),coated1_t (s),coated2_s(rpm),coated2_t (s),anti-solvent,anneal_T (℃),anneal_t (min),,Jsc (mA/cm2),Voc (V),FF,PCE (%)
0.933271115,0,0,0.526315789,0,0,0.824515597,0,0.5,1,0.333333333,0.333333333,0.028571429,1,0,0,0,1,1,0.75,0.111111111,0.5,0.333333333,0,0.242857143,0.111111111,,0.590769231,0.602258469,0.681551116,0.510163412
0.139990667,0.818882466,0,0.526315789,0,0,0.700838258,0.15,0.5,1,0.333333333,0.333333333,0.050428571,0,0,0,0,1,0.5,0.625,0.5,0.833333333,0.5,0,0.285714286,0.666666667,,0.710153846,0.671267252,0.728554642,0.616181746
0,0,0.933271115,0.526315789,0,0,0,1,0.5,1,0.333333333,1,0.028571429,0,0,0,0,1,1,0.25,0.333333333,0.333333333,0.166666667,0.12,0.714285714,0.055555556,,0.268923077,0.771643664,0.886016451,0.323236349
0.139990667,0.818882466,0,0.894736842,0,0,0.700838258,0.15,1,2,0.666666667,0.666666667,0.064285714,1,0,0,1,1,0.75,0.1875,0.111111111,0.916666667,0.5,0.1,0.371428571,0.333333333,,0.590153846,0.721455458,0.860164512,0.776803507
0.888474102,0.046242775,0,0.526315789,0,0,0.784938848,0.048,1,2,0.666666667,0.333333333,0.085714286,1,0,1,0,1,0.75,0.125,0.055555556,0.666666667,0.2,0.04,0.385714286,0.033333333,,0.740615385,0.709535759,0.902467685,0.834196891
0.888474102,0.046242775,0,0.526315789,0,0,0.784938848,0.048,1,2,0.666666667,0.333333333,0.5,1,0,1,0,1,0.75,0.125,0.055555556,0.666666667,0.2,0.04,0.385714286,0.033333333,,0.723076923,0.668130489,0.807285546,0.686329215
0.933271115,0,0,0.526315789,0,0,0.824515597,0,1,2,0.666666667,0.333333333,1,1,0,1,0,1,0.75,0.125,0.055555556,0.666666667,0.2,0.04,0.385714286,0.033333333,,0.650769231,0.660602258,0.766157462,0.579115185
0.910872608,0.023121387,0,0.526315789,0,0,0.794833036,0.032,1,2,0.666666667,0.333333333,0.085714286,1,0,1,0,1,0.75,0.125,0.055555556,0.666666667,0.2,0.04,0.385714286,0.033333333,,0.734461538,0.686951066,0.888366627,0.787564767
0.866075595,0.069364162,0,0.526315789,0,0,0.765150474,0.072,1,2,0.666666667,0.333333333,0.085714286,1,0,1,0,1,0.75,0.125,0.055555556,0.666666667,0.2,0.04,0.385714286,0.033333333,,0.730769231,0.678795483,0.863689777,0.752889597
0.843677088,0.092485549,0,0.526315789,0,0,0.7453621,0.096,1,2,0.666666667,0.333333333,0.085714286,1,0,1,0,1,0.75,0.125,0.055555556,0.666666667,0.2,0.04,0.385714286,0.033333333,,0.717538462,0.664993726,0.837837838,0.704264647
0,0,0.933271115,0,1,0,0.824515597,0,1,3,1,0.666666667,0.028571429,1,1,0,1,0,0.75,0.375,0.333333333,0,0,0,0.2,0.088888889,,0.767384615,0.470514429,0.869565217,0.545237146
0,0,0.933271115,0,1,0,0.824515597,0,1,3,1,0.666666667,0.042857143,0,0,0,1,0,0.75,0.375,0.333333333,0,0,0,0.2,0.088888889,,0.443692308,0.39523212,0.705052879,0.219609406
0,0,0.933271115,0,1,0,0.274838532,0.666666667,0.5,1,0.333333333,1,0.057142857,0,1,0,1,0,0.75,0.375,0.222222222,0,0,0,0.714285714,0.044444444,,0.513846154,0.207026349,0.62279671,0.11956955
0.046663556,0.91522158,0,1,0,0,0.618386698,0.083333333,0.5,2,0.666666667,0.333333333,0.085714286,0,0,0,1,0,1,0.0375,0.111111111,0.666666667,0.5,0.2,0.428571429,0.111111111,,0.742461538,0.680677541,0.853113984,0.757273814
0.139990667,0.818882466,0,0.526315789,0,0,0.700838258,0.15,0.5,1,0.333333333,0.333333333,0.114285714,1,0,0,1,0,0.75,0.75,0.333333333,0,0,0.1,0.285714286,0.666666667,,0.704307692,0.704516939,0.888366627,0.774412116
0,0,0.933271115,0.526315789,0,0,0,1,0.5,1,0.333333333,1,0.028571429,1,0,0,0,1,1,0.25,0.333333333,0.333333333,0.166666667,0.12,0.714285714,0.055555556,,0.268923077,0.771643664,0.886016451,0.323236349
0.046663556,0.91522158,0,1,0,0,0.618386698,0.083333333,0.5,2,0.666666667,0.333333333,0.085714286,1,1,0,1,1,1,0.0375,0.111111111,0.666666667,0.5,0.2,0.428571429,0.111111111,,0.759692308,0.683814304,0.878965922,0.802311678
0,0.963391137,0,0.526315789,0,0,0.824515597,0,0.5,2,0.666666667,0.333333333,0.085714286,1,1,0,1,1,1,0.0375,0.111111111,0.666666667,0.5,0.2,0.428571429,0.111111111,,0.735076923,0.646173149,0.888366627,0.743324033
0.933271115,0,0,0.526315789,0,0,0.824515597,0,1,3,1,0.666666667,0.05,0,0,0,0,0,0.75,0.5,0.222222222,0,0,0.35,0.285714286,0.022222222,,0.648923077,0.664993726,0.916568743,0.723395775
0,0.963391137,0,0,1,0,0.824515597,0,1,3,1,1,0.028571429,1,0,1,0,0,1,0.5,0.666666667,0,0,0.4,0.185714286,0.222222222,,0.741538462,0.3293601,0.834312573,0.358708649
0,0,0.933271115,0.526315789,0,0,0.549677065,0.333333333,0.5,1,0.333333333,0.666666667,0.065714286,0,0,0,0,0,0.25,0.1875,0.5,0,0,0,0.285714286,0.111111111,,0.295384615,0.595984944,0.834312573,0.235153448
0,0.963391137,0,0,1,0,0.824515597,0,1,3,1,0.666666667,0.063571429,0,0,0,1,1,0.5,0.125,0.133333333,0.833333333,0.8,0.08,0.285714286,0.133333333,,0.688307692,0.457967378,0.846063455,0.469509765
0.15865609,0.799614644,0,0.526315789,0,0,0.684347946,0.17,1,2,0.666666667,0.333333333,0.085714286,0,0,0,0,0,0.75,0.75,0.333333333,0,0,0.07,0.285714286,0.555555556,,0.714769231,0.740276035,0.861927145,0.81865285
0.839944004,0,0.093327112,0.526315789,0,0,0.824515597,0,1,2,0.666666667,0.666666667,0.028571429,0,0,0,1,1,0.75,0.125,0.111111111,0.666666667,0.5,0.1,0.428571429,0.111111111,,0.72,0.658720201,0.884841363,0.729374253
0.839944004,0,0.093327112,0.526315789,0,0,0.824515597,0,1,2,0.666666667,0.666666667,0.028571429,0,1,1,1,1,0.75,0.125,0.111111111,0.666666667,0.5,0.1,0.428571429,0.111111111,,0.744615385,0.677540778,0.89306698,0.793144679
0.839944004,0,0.093327112,0.526315789,0,0,0.824515597,0,1,2,0.666666667,0.666666667,0.028571429,0,1,1,1,1,0.75,0.125,0.111111111,0.666666667,0.5,0.1,0.428571429,0.111111111,,0.756923077,0.683814304,0.908343126,0.825029892
0.839944004,0,0.093327112,0.526315789,0,0,0.824515597,0,1,2,0.666666667,0.666666667,0.028571429,0,1,1,1,1,0.75,0.125,0.111111111,0.666666667,0.5,0.1,0.428571429,0.111111111,,0.701538462,0.652446675,0.773207991,0.621761658
0,0.963391137,0,0,1,0,0.824515597,0,0.5,1,0.333333333,0.333333333,0.114285714,1,0,0,1,1,0.75,0.125,0.111111111,0.833333333,0.833333333,1,0.171428571,0.666666667,,0.729230769,0.17565872,0.646298472,0.191311279
0,0.963391137,0,0,1,0,0.824515597,0,0.5,1,0.333333333,0.333333333,0.114285714,1,0,0,1,1,0.75,0.125,0.111111111,0.833333333,0.833333333,1,0.171428571,0.666666667,,0.753846154,0.181932246,0.646298472,0.159426066
0,0.963391137,0,0,1,0,0.824515597,0,0.5,1,0.333333333,0.333333333,0.114285714,1,0,0,1,1,0.75,0.125,0.111111111,0.833333333,0.833333333,1,0.171428571,0.666666667,,0.643076923,0.163111669,0.587544066,0.111598246
0,0,0.933271115,0,1,0,0,1,0.5,1,0.333333333,0.333333333,0.114285714,0,0,0,0,0,0.5,0.25,0.333333333,0,0,0,0.285714286,0.111111111,,0.012307692,0.062735257,0.387779083,0.000398565
0,0,0.933271115,0,1,0,0,1,0.5,1,0.333333333,0.333333333,0.114285714,0,1,1,0,0,0.5,0.25,0.333333333,0,0,0,0.285714286,0.111111111,,0.28,0.26348808,0.669800235,0.086488641
0,0.963391137,0,0,1,0,0.824515597,0,0.5,1,0.333333333,0.333333333,0.142857143,0,1,1,0,0,0.25,0.25,0.444444444,0,0,0,0.2,0.333333333,,0.752307692,0.149309912,0.423031727,0.083698685
0.15865609,0.799614644,0,0.526315789,0,0,0.684347946,0.17,0.5,1,0.333333333,0.333333333,0.114285714,0,0,0,0,1,0.75,0.125,0.111111111,1,0.333333333,0.1,0.285714286,0.666666667,,0.68,0.671894605,0.834312573,0.669589478
0.150723285,0.759633911,0.046663556,0.526315789,0,0,0.684347946,0.17,0.5,1,0.333333333,0.333333333,0.114285714,0,0,0,0,1,0.75,0.125,0.111111111,1,0.333333333,0.1,0.285714286,0.666666667,,0.698461538,0.695734003,0.869565217,0.741331208
0.142790481,0.719653179,0.093327112,0.526315789,0,0,0.684347946,0.17,0.5,1,0.333333333,0.333333333,0.114285714,0,0,0,0,1,0.75,0.125,0.111111111,1,0.333333333,0.1,0.285714286,0.666666667,,0.676923077,0.708908407,0.904817861,0.761259466
0.134857676,0.679672447,0.139990667,0.526315789,0,0,0.684347946,0.17,0.5,1,0.333333333,0.333333333,0.114285714,0,0,0,0,1,0.75,0.125,0.111111111,1,0.333333333,0.1,0.285714286,0.666666667,,0.596923077,0.682559598,0.810810811,0.581905141
0.933271115,0,0,0,1,0,0.824515597,0,0.5,1,0.333333333,0.333333333,0.096428571,0,1,1,0,0,0.5,0.1875,0.333333333,0,0,0,0.285714286,0.222222222,,0.612923077,0.236825596,0.60787309,0.155041849
0,0,0.933271115,0,1,0,0.824515597,0,0.5,1,0.333333333,0.333333333,0.096428571,0,1,1,0,0,0.5,0.1875,0.333333333,0,0,0,0.285714286,0.222222222,,0.946153846,0.106649937,0.40987074,0.072937425
0,0,0.933271115,0,1,0,0,1,0.5,1,0.333333333,0.333333333,0.096428571,0,1,1,0,0,0.5,0.1875,0.333333333,0,0,0,0.285714286,0.222222222,,0.429538462,0.229611041,0.696827262,0.12116381
0.933271115,0,0,0.526315789,0,0,0.494709358,0.4,1,3,1,0.666666667,0.071428571,0,0,0,0,1,0.75,0.125,0.166666667,0.666666667,0.75,0.7,0.285714286,0.111111111,,0.441230769,0.658720201,0.869565217,0.444001594
0.933271115,0,0,0.394736842,0.25,0,0.494709358,0.4,1,3,1,0.666666667,0.071428571,0,0,0,1,1,0.75,0.125,0.166666667,0.666666667,0.75,0.7,0.285714286,0.111111111,,0.530769231,0.570890841,0.89306698,0.475488242
0.933271115,0,0,0.263157895,0.5,0,0.494709358,0.4,1,3,1,0.666666667,0.071428571,0,0,0,1,1,0.75,0.125,0.166666667,0.666666667,0.75,0.7,0.285714286,0.111111111,,0.185230769,0.357590966,0.799059929,0.093264249
0.933271115,0,0,0.131578947,0.75,0,0.494709358,0.4,1,3,1,0.666666667,0.071428571,0,0,0,1,1,0.75,0.125,0.166666667,0.666666667,0.75,0.7,0.285714286,0.111111111,,0.084923077,0.257214555,0.740305523,0.028298127
0.933271115,0,0,0,1,0,0.494709358,0.4,1,3,1,0.666666667,0.071428571,0,0,0,0,1,0.75,0.125,0.166666667,0.666666667,0.75,0.7,0.285714286,0.111111111,,0.031692308,0.094102886,0.599294947,0.002789956
1,0,0,0,0,1,0.883468462,0,0.5,1,0.333333333,0.666666667,0.09,0,0,0,0,0,0.75,0.1875,0.222222222,0,0,0,0.314285714,0.333333333,,0.016,0.426599749,0.387779083,0.004782782
0,0,1,0,0,1,0.883468462,0,0.5,1,0.333333333,0.666666667,0.09,0,0,0,0,0,0.75,0.1875,0.222222222,0,0,0,0.314285714,0.333333333,,0.066153846,0.533249686,0.705052879,0.043443603
0.933271115,0,0,0,1,0,0.824515597,0,0.5,1,0.333333333,0.333333333,0.071428571,0,0,0,0,0,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,,0.357846154,0.426599749,0.564042303,0.208449582
0.933271115,0,0,0,1,0,0.549677065,0.333333333,0.5,1,0.333333333,0.333333333,0.071428571,0,0,0,0,0,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,,0.442461538,0.483061481,0.587544066,0.218413711
0.933271115,0,0,0,1,0,0.274838532,0.666666667,0.5,1,0.333333333,0.333333333,0.071428571,0,0,0,0,0,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,,0.378461538,0.514429109,0.669800235,0.22837784
0.933271115,0,0,0,1,0,0,1,0.5,1,0.333333333,0.333333333,0.071428571,0,0,0,0,0,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,,0.254153846,0.552070263,0.693301998,0.130330809
0,0,0.933271115,0.526315789,0,0,0.824515597,0,0.5,1,0.333333333,0.333333333,0.064285714,0,1,1,0,1,0.75,0.1,0.111111111,0.583333333,0.583333333,0,0.285714286,0.166666667,,0.492923077,0.558343789,0.664982374,0.321642088
0,0,0.933271115,0.521052632,0,0.013995801,0.824515597,0,0.5,1,0.333333333,0.333333333,0.064285714,0,1,1,0,1,0.75,0.1,0.111111111,0.583333333,0.583333333,0,0.285714286,0.166666667,,0.467692308,0.520702635,0.673443008,0.288162615
0,0,0.933271115,0.513157895,0,0.034989503,0.824515597,0,0.5,1,0.333333333,0.333333333,0.064285714,0,1,1,0,1,0.75,0.1,0.111111111,0.583333333,0.583333333,0,0.285714286,0.166666667,,0.487384615,0.545796738,0.747826087,0.34954165
0,0,0.933271115,0.505263158,0,0.055983205,0.824515597,0,0.5,1,0.333333333,0.333333333,0.064285714,0,1,1,0,1,0.75,0.1,0.111111111,0.583333333,0.583333333,0,0.285714286,0.166666667,,0.577230769,0.608531995,0.852996475,0.526504583
0,0,0.933271115,0.5,0,0.069979006,0.824515597,0,0.5,1,0.333333333,0.333333333,0.064285714,0,1,1,0,1,0.75,0.1,0.111111111,0.583333333,0.583333333,0,0.285714286,0.166666667,,0.533846154,0.583437892,0.776380729,0.424870466
0,0,0.933271115,0.526315789,0,0,0.824515597,0,0.5,1,0.333333333,1,0.044642857,0,0,0,0,0,0.5,0.25,0.333333333,0,0,0,0.314285714,0.111111111,,0.414153846,0.445420326,0.540540541,0.177361499
0,0,0.933271115,0.505263158,0,0.055983205,0.835509138,0,0.5,1,0.333333333,1,0.044642857,0,0,0,0,0,0.5,0.25,0.333333333,0,0,0,0.314285714,0.111111111,,0.450769231,0.457967378,0.587544066,0.211638103
0,0,0.933271115,0.526315789,0,0,0,1,0.5,1,0.333333333,0.333333333,0.114285714,0,0,0,0,0,0.25,0.3125,0.666666667,0,0,0,0.214285714,0.333333333,,0.207692308,0.627352572,0.869565217,0.198485452
0,0,0.933271115,0.526315789,0,0,0,1,0.5,1,0.333333333,0.333333333,0.114285714,0,0,0,0,0,0.25,0.3125,0.666666667,0,0,0,0.214285714,0.333333333,,0.192,0.803011292,0.869565217,0.237146273
0,0,0.933271115,0.526315789,0,0,0,1,0.5,1,0.333333333,0.333333333,0.114285714,0,0,0,0,0,0.25,0.3125,0.666666667,0,0,0,0.214285714,0.333333333,,0.212615385,0.828105395,0.634547591,0.196094061
0,0,0.933271115,0.526315789,0,0,0,1,0.5,1,0.333333333,0.333333333,0.114285714,0,0,0,0,0,0.25,0.3125,0.666666667,0,0,0,0.214285714,0.333333333,,0.188,0.759096612,0.869565217,0.218015145
0,0,0.933271115,0.526315789,0,0,0,1,0.5,1,0.333333333,1,0.085714286,0,0,0,0,0,0.25,0.25,0.333333333,0,0,0,0.714285714,0.055555556,,0.227692308,0.777917189,0.857814336,0.267038661
0,0,0.933271115,0.526315789,0,0,0,1,0.5,0,0,1,0.085714286,0,0,0,0,0,0.25,0.25,0.333333333,0,0,0,0.714285714,0.055555556,,0.156923077,0.82183187,0.634547591,0.14348346
0,0,0.933271115,0.526315789,0,0,0,1,0.5,1,0.333333333,1,0.085714286,0,0,0,0,0,0.25,0.125,0.333333333,0,0,0,0.714285714,0.055555556,,0.236923077,0.715181932,0.611045828,0.183339976
0,0,0.933271115,0.526315789,0,0,0,1,0.5,1,0.333333333,1,0.085714286,0,0,0,0,0,0.25,0.375,0.333333333,0,0,0,0.714285714,0.055555556,,0.196923077,0.746549561,0.787309048,0.203268234
0,0,0.933271115,0.526315789,0,0,0.824515597,0,0.5,1,0.333333333,1,0.714285714,0,0,0,0,0,0.25,0.25,0.333333333,0,0,0,0.2,0.333333333,,0.214153846,0.790464241,0.669800235,0.199282583
0,0,0.933271115,0.526315789,0,0,0,1,0.5,1,0.333333333,1,0.064285714,0,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,,0.213538462,0.848180678,0.875440658,0.278597051
0,0,0.933271115,0.521052632,0,0.013995801,0,1,0.5,1,0.333333333,1,0.064285714,0,0,0,1,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,,0.228615385,0.898368883,0.8613396,0.310880829
0,0,0.933271115,0.515789474,0,0.027991603,0,1,0.5,1,0.333333333,1,0.064285714,0,0,0,1,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,,0.228923077,0.946047679,0.875440658,0.333200478
0,0,0.933271115,0.510526316,0,0.041987404,0,1,0.5,1,0.333333333,1,0.064285714,0,0,0,1,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,,0.229230769,0.963613551,0.942420682,0.366679952
0,0,0.933271115,0.505263158,0,0.055983205,0,1,0.5,1,0.333333333,1,0.064285714,0,0,0,1,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,,0.148923077,0.951066499,0.895417156,0.222797927
0,0,0.933271115,0.5,0,0.069979006,0,1,0.5,1,0.333333333,1,0.064285714,0,0,0,1,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,,0.085230769,0.936010038,0.813160987,0.113989637
0,0,0.933271115,0.521052632,0,0.013995801,0,1,0.5,1,0.333333333,1,0.064285714,0,0,0,1,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,,0.221538462,0.885821832,0.913043478,0.314866481
0,0,0.933271115,0.515789474,0,0.027991603,0,1,0.5,1,0.333333333,1,0.064285714,0,0,0,1,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,,0.230769231,0.913425345,0.969447709,0.359107214
0,0,0.933271115,0.510526316,0,0.041987404,0,1,0.5,1,0.333333333,1,0.064285714,0,0,0,1,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,,0.230153846,1,1,0.404145078
0,0,0.933271115,0.505263158,0,0.055983205,0,1,0.5,1,0.333333333,1,0.064285714,0,0,0,1,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,,0.214461538,0.974905897,0.925969448,0.340374651
0,0,0.933271115,0.5,0,0.069979006,0,1,0.5,1,0.333333333,1,0.064285714,0,0,0,1,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,,0.184,0.925972396,0.854289072,0.255878836
0,0,0.933271115,0.526315789,0,0,0,1,0.5,1,0.333333333,1,0.064285714,0,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,,0.212,0.859473024,0.902467685,0.288959745
0,0,0.933271115,0.521052632,0,0.013995801,0,1,0.5,1,0.333333333,1,0.064285714,0,0,0,1,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,,0.212,0.859473024,0.896592244,0.291351136
0,0,0.933271115,0.515789474,0,0.027991603,0,1,0.5,1,0.333333333,1,0.064285714,0,0,0,1,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,,0.216,0.90966123,0.873090482,0.301315265
0,0,0.933271115,0.510526316,0,0.041987404,0,1,0.5,1,0.333333333,1,0.064285714,0,0,0,1,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,,0.216615385,0.90966123,0.907168038,0.313670785
0,0,0.933271115,0.505263158,0,0.055983205,0,1,0.5,1,0.333333333,1,0.064285714,0,0,0,1,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,,0.213846154,0.86574655,0.877790834,0.285372658
0,0,0.933271115,0.5,0,0.069979006,0,1,0.5,1,0.333333333,1,0.064285714,0,0,0,1,1,0.25,0.25,0.333333333,0.333333333,0.5,0,0.714285714,0.055555556,,0.198769231,0.82183187,0.8613396,0.251096054
0,0,0.933271115,0.526315789,0,0,0.549677065,0.333333333,0.5,1,0.333333333,0.333333333,0.113571429,0,0,0,0,1,0.75,0.125,0.111111111,0.666666667,0.5,0,0.285714286,0.055555556,,0.412307692,0.603513174,0.702702703,0.306895177
0,0,0.933271115,0.521052632,0,0.013995801,0.549677065,0.333333333,0.5,1,0.333333333,0.333333333,0.113571429,0,0,0,1,1,0.75,0.125,0.111111111,0.666666667,0.5,0,0.285714286,0.055555556,,0.44,0.588456713,0.730904818,0.330809087
0,0,0.933271115,0.515789474,0,0.027991603,0.549677065,0.333333333,0.5,1,0.333333333,0.333333333,0.113571429,0,0,0,1,1,0.75,0.125,0.111111111,0.666666667,0.5,0,0.285714286,0.055555556,,0.470769231,0.654328733,0.821386604,0.438421682
0,0,0.933271115,0.510526316,0,0.041987404,0.549677065,0.333333333,0.5,1,0.333333333,0.333333333,0.113571429,0,0,0,1,1,0.75,0.125,0.111111111,0.666666667,0.5,0,0.285714286,0.055555556,,0.436923077,0.62672522,0.813160987,0.390593862
0,0,0.933271115,0.5,0,0.069979006,0.549677065,0.333333333,0.5,1,0.333333333,0.333333333,0.113571429,0,0,0,1,1,0.75,0.125,0.111111111,0.666666667,0.5,0,0.285714286,0.055555556,,0.344615385,0.581555834,0.720329025,0.255081706
0,0,0.933271115,0.526315789,0,0,0.274838532,0.666666667,0.5,3,1,0.333333333,0.064285714,0,0,0,0,0,0.5,0.3125,0.333333333,0,0,0,0.457142857,0.222222222,,0.324923077,0.533249686,0.728554642,0.220007971
0,0,0.933271115,0.526315789,0,0,0.274838532,0.666666667,0.5,0,0,0.333333333,0.064285714,0,0,0,0,0,0.5,0.3125,0.333333333,0,0,0,0.457142857,0.222222222,,0.256307692,0.294855709,0.387779083,0.051813472
0,0,0.933271115,0.526315789,0,0,0,1,0.5,1,0.333333333,1,0.064285714,0,0,0,0,0,0.75,0.25,0.333333333,0,0,0,0.714285714,0.111111111,,0.225846154,0.784190715,0.740305523,0.231964926
0,0,0.933271115,0.526315789,0,0,0.274838532,0.666666667,0.5,1,0.333333333,1,0.064285714,0,0,0,0,0,0.75,0.25,0.333333333,0,0,0,1,0.111111111,,0.379076923,0.677540778,0.728554642,0.328816261
0,0,0.933271115,0.473684211,0.1,0,0.274838532,0.666666667,0.5,1,0.333333333,1,0.064285714,0,0,0,0,0,0.75,0.25,0.333333333,0,0,0,1,0.111111111,,0.44,0.790464241,0.740305523,0.451574332
