MA,FA,Cs,Pb,Sn,Other,I,Br,Gap,Po,ETL,HTL,Ne,Add_O,Add_I,Add_H,Step,Solvent,Coated1_v,Coated1_t,Coated2_v,Coated2_t,Antisolvent,Anneal_T,Anneal_t,example,note,perovskite,source
1,0,0,0.75,0.25,0,1,0,0.448669202,0,1,0.666666667,0.666666667,0,0,0,1,0.75,0.625,0.333333333,0.666666667,0.5,0,0.342857143,0.222222222,1,origin,MAPb0.75Sn0.25I3,68
0.9,0.1,0,0.75,0.25,0,1,0,0.5066547,0,1,0.666666667,0.666666667,0,0,0,1,0.75,0.625,0.333333333,0.666666667,0.5,0,0.342857143,0.222222222,1,introduce FA,FA0.1MA0.9Pb0.75Sn0.25I3,
1,0,0,0.75,0.25,0,1,0,0.448669202,0,1,0.666666667,0.666666667,1,0,0,1,0.75,0.625,0.333333333,0.666666667,0.5,0,0.342857143,0.222222222,1,O_add,MAPb0.75Sn0.25I3,
0.9,1,0,0.75,0.25,0,1,0,0.5066547,0,1,0.666666667,0.666666667,1,0,0,1,0.75,0.625,0.333333333,0.666666667,0.5,0,0.342857143,0.222222222,1,introduce FA and O_dd,FA0.1MA0.9Pb0.75Sn0.25I3,
0,0,1,0.8,0,0.2,0.666666667,0.333333333,0.718631179,0,0.666666667,0.333333333,0.333333333,0,0,0,0.5,0.75,0.375,0.277777778,0,0,0.5,0.457142857,0.111111111,2,origin,CsPb0.8Ge0.2I2Br,60
0,0.05,0.95,0.8,0,0.2,0.666666667,0.333333333,0.71389422,0,0.666666667,0.333333333,0.333333333,0,0,0,0.5,0.75,0.375,0.277777778,0,0,0.5,0.457142857,0.111111111,2,introduce FA,FA0.05Cs0.95Pb0.8Ge0.2I2Br,
0,0.05,0.95,0.8,0,0.2,0.666666667,0.333333333,0.71389422,0,0.666666667,0.333333333,0.333333333,1,0,0,0.5,0.75,0.375,0.277777778,0,0,0.5,0.457142857,0.111111111,2,introduce FA and O_dd,FA0.05Cs0.95Pb0.8Ge0.2I2Br,
